Property Code,Owner / Broker,Owner Name,Number,City,Loatlity,Actucally Locaion,Property Type,Sqft Areas,Price,Potral,possession
U89250455,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-jagat-vidya-chs-kala-nagar-western-mumbai-1200-sq-ft-spid-U89250455,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-jagat-vidya-chs-kala-nagar-western-mumbai-1200-sq-ft-spid-U89250455,Bandra,Kala Nagar,Jagat Vidya CHS,3 BHK Flat for rent,"1,200 sqft",₹1.7 Lac /month,99acres,N/A
B89249703,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-jagat-vidya-chs-kala-nagar-western-mumbai-1200-sq-ft-spid-B89249703,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-jagat-vidya-chs-kala-nagar-western-mumbai-1200-sq-ft-spid-B89249703,Bandra,Kala Nagar,Jagat Vidya CHS,3 BHK Flat for rent,"1,200 sqft",₹1.7 Lac /month,99acres,N/A
Y78802019,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sagar-resham-chsl-bandra-west-western-mumbai-480-sq-ft-r1-spid-Y78802019,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sagar-resham-chsl-bandra-west-western-mumbai-480-sq-ft-r1-spid-Y78802019,Bandra,Bandra West,Sagar Resham CHSL,2 BHK Flat for rent,480 sqft,"₹35,000 /month",99acres,N/A
T88170962,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kanakia-paris-bandra-kurla-complex-western-mumbai-1150-sq-ft-spid-T88170962,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kanakia-paris-bandra-kurla-complex-western-mumbai-1150-sq-ft-spid-T88170962,Bandra,Bandra Kurla Complex,Kanakia Paris,3 BHK Flat for rent,"1,150 sqft",₹1.8 Lac /month,99acres,N/A
V89113921,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-pali-hill-apartment-bandra-west-western-mumbai-1400-sq-ft-spid-V89113921,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-pali-hill-apartment-bandra-west-western-mumbai-1400-sq-ft-spid-V89113921,Bandra,Bandra West,Pali Hill Apartment,3 BHK Flat for rent,"1,400 sqft",₹4 Lac /month,99acres,N/A
D89061508,Owner,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-chandani-building-bandra-west-western-mumbai-150-sq-ft-spid-D89061508,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-chandani-building-bandra-west-western-mumbai-150-sq-ft-spid-D89061508,Bandra,Bandra West,Chandani Building,1 BHK Independent Builder Floor for rent,150 sqft,"₹5,000 /month",99acres,N/A
A89056588,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-lafleur-apartment-bandra-west-western-mumbai-1100-sq-ft-spid-A89056588,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-lafleur-apartment-bandra-west-western-mumbai-1100-sq-ft-spid-A89056588,Bandra,Bandra West,Lafleur Apartment,3 BHK Flat for rent,"1,100 sqft",₹2.1 Lac /month,99acres,N/A
B89050126,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-1768-sq-ft-spid-B89050126,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-1768-sq-ft-spid-B89050126,Bandra,Bandra East,Ten BKC,3 BHK Flat for rent,"1,768 sqft",₹3.25 Lac /month,99acres,N/A
W89039600,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-esmeralda-apartments-mount-mary-western-mumbai-510-sq-ft-spid-W89039600,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-esmeralda-apartments-mount-mary-western-mumbai-510-sq-ft-spid-W89039600,Bandra,Mount Mary,Esmeralda Apartments,2 BHK Flat for rent,510 sqft,"₹90,000 /month",99acres,N/A
J89027884,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sethia-grandeur-bandra-east-western-mumbai-650-sq-ft-spid-J89027884,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sethia-grandeur-bandra-east-western-mumbai-650-sq-ft-spid-J89027884,Bandra,Bandra East,Sethia Grandeur,2 BHK Flat for rent,650 sqft,₹1.1 Lac /month,99acres,N/A
